hour_of_day,user_type,ride_count
0,member,15874
0,casual,8204
0,unknown,0
1,member,9033
1,casual,5384
1,unknown,0
2,member,5329
2,casual,3335
2,unknown,0
3,member,3686
3,casual,1925
3,unknown,0
4,member,6614
4,casual,1175
4,unknown,0
5,member,33156
5,casual,2614
5,unknown,0
6,member,102141
6,casual,6091
6,unknown,0
7,member,224842
7,casual,12866
7,unknown,0
8,member,283982
8,casual,21798
8,unknown,0
9,member,135131
9,casual,28702
9,unknown,0
10,member,100700
10,casual,44764
10,unknown,0
11,member,119930
11,casual,60036
11,unknown,0
12,member,136676
12,casual,69591
12,unknown,0
13,member,131946
13,casual,75179
13,unknown,0
14,member,127914
14,casual,78471
14,unknown,0
15,member,163346
15,casual,80094
15,unknown,0
16,member,292901
16,casual,82877
16,unknown,0
17,member,390667
17,casual,84487
17,unknown,0
18,member,247234
18,casual,68019
18,unknown,0
19,member,158385
19,casual,50375
19,unknown,0
20,member,99757
20,casual,34403
20,unknown,0
21,member,71268
21,casual,24925
21,unknown,0
22,member,48535
22,casual,21166
22,unknown,0
23,member,28320
23,casual,14156
23,unknown,0
