month,user_type,ride_count
1,member,98670
1,casual,4602
1,unknown,0
2,member,93548
2,casual,2638
2,unknown,0
3,member,149688
3,casual,15923
3,unknown,0
4,member,217566
4,casual,47744
4,unknown,0
5,member,285834
5,casual,81624
5,unknown,0
6,member,345177
6,casual,130218
6,unknown,0
7,member,381683
7,casual,175632
7,unknown,0
8,member,403295
8,casual,186889
8,unknown,0
9,member,364046
9,casual,129173
9,unknown,0
10,member,300751
10,casual,71035
10,unknown,0
11,member,158447
11,casual,18729
11,unknown,0
12,member,138662
12,casual,16430
12,unknown,0
